,Sigla da UF,Código do Município,Nome do Município,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,cactus,ID_PROVA_BRASIL,NIVEL_SOCIO_ECONOMICO,MEDIA_5EF_MT,MEDIA_9EF_MT
153,CE,2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2007,161.72,3.4,239.43,3.3,cactus19,2017,Grupo 2,208.49,279.55
154,CE,2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2009,189.01,4.0,224.02,3.6,cactus19,2017,Grupo 2,208.49,279.55
155,CE,2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2011,193.72,4.5,237.67,3.7,cactus19,2017,Grupo 2,208.49,279.55
156,CE,2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2013,193.18,4.2,246.68,4.0,cactus19,2017,Grupo 2,208.49,279.55
157,CE,2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2015,206.71,4.9,249.8,4.3,cactus19,2017,Grupo 2,208.49,279.55
158,CE,2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2017,208.49,5.7,279.55,5.3,cactus19,2017,Grupo 2,208.49,279.55
159,CE,2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2019,201.46,4.9,259.49,4.8,cactus19,2017,Grupo 2,208.49,279.55
160,CE,2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2005,,,,,não cactus,2017,Grupo 2,252.6,264.44
161,CE,2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2007,,,,,não cactus,2017,Grupo 2,252.6,264.44
162,CE,2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2009,191.97,3.9,216.3,3.1,não cactus,2017,Grupo 2,252.6,264.44
163,CE,2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2011,,,225.83,3.4,não cactus,2017,Grupo 2,252.6,264.44
164,CE,2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2013,,,237.24,3.8,não cactus,2017,Grupo 2,252.6,264.44
165,CE,2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2015,237.01,6.0,241.77,4.2,não cactus,2017,Grupo 2,252.6,264.44
166,CE,2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2017,252.6,7.0,264.44,5.1,não cactus,2017,Grupo 2,252.6,264.44
167,CE,2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2019,232.24,6.3,266.63,5.1,não cactus,2017,Grupo 2,252.6,264.44
168,CE,2300200,Acaraú,23000910,Antonio Ferreira Sales Eeief,Municipal,2005,,,,,não cactus,2017,Grupo 1,262.48,245.68
169,CE,2300200,Acaraú,23000910,Antonio Ferreira Sales Eeief,Municipal,2007,,,,,não cactus,2017,Grupo 1,262.48,245.68
170,CE,2300200,Acaraú,23000910,Antonio Ferreira Sales Eeief,Municipal,2009,156.34,2.8,216.21,2.8,não cactus,2017,Grupo 1,262.48,245.68
171,CE,2300200,Acaraú,23000910,Antonio Ferreira Sales Eeief,Municipal,2011,187.21,4.1,222.92,3.7,não cactus,2017,Grupo 1,262.48,245.68
172,CE,2300200,Acaraú,23000910,Antonio Ferreira Sales Eeief,Municipal,2013,246.66,6.2,307.14,5.6,não cactus,2017,Grupo 1,262.48,245.68
