,Sigla da UF,Código do Município,Nome do Município_x,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,Nome do Município_y,cactus
131,CE,2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2011,,,,,Acaraú,não cactus
132,CE,2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2013,,,,,Acaraú,não cactus
133,CE,2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2015,,,,,Acaraú,não cactus
134,CE,2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2017,,,,,Acaraú,não cactus
135,CE,2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2019,,,,,Acaraú,não cactus
136,CE,2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2005,,,,,Acaraú,não cactus
137,CE,2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2007,,,,,Acaraú,não cactus
138,CE,2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2009,,,,,Acaraú,não cactus
139,CE,2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2011,,,,,Acaraú,não cactus
140,CE,2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2013,,,,,Acaraú,não cactus
141,CE,2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2015,,,,,Acaraú,não cactus
142,CE,2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2017,282.36,7.9,,,Acaraú,não cactus
143,CE,2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2019,218.58,5.5,,,Acaraú,não cactus
144,CE,2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2005,,,,,Acaraú,não cactus
145,CE,2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2007,,,,,Acaraú,não cactus
146,CE,2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2009,,,,,Acaraú,não cactus
147,CE,2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2011,252.37,6.8,,,Acaraú,não cactus
148,CE,2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2013,,,,,Acaraú,não cactus
149,CE,2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2015,,,,,Acaraú,não cactus
150,CE,2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2017,,,,,Acaraú,não cactus
151,CE,2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2019,289.35,8.3,308.86,6.7,Acaraú,não cactus
152,CE,2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2005,163.44,3.0,,,Acaraú,não cactus
153,CE,2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2007,177.33,3.9,,,Acaraú,não cactus
154,CE,2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2009,199.93,4.3,,,Acaraú,não cactus
155,CE,2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2011,212.05,5.1,,,Acaraú,não cactus
156,CE,2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2013,188.89,4.1,,,Acaraú,não cactus
157,CE,2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2015,220.16,5.4,,,Acaraú,não cactus
158,CE,2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2017,245.63,6.8,,,Acaraú,não cactus
159,CE,2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2019,252.72,7.0,,,Acaraú,não cactus
160,CE,2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2005,172.64,3.7,,,Acaraú,não cactus
161,CE,2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2007,188.06,4.3,,,Acaraú,não cactus
162,CE,2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2009,183.56,4.3,,,Acaraú,não cactus
163,CE,2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2011,220.33,4.9,,,Acaraú,não cactus
164,CE,2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2013,195.23,4.6,,,Acaraú,não cactus
165,CE,2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2015,207.94,5.3,,,Acaraú,não cactus
166,CE,2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2017,231.94,6.1,,,Acaraú,não cactus
167,CE,2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2019,238.59,6.8,,,Acaraú,não cactus
168,CE,2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2005,,,,,Acaraú,não cactus
169,CE,2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2007,146.04,2.6,237.6,3.0,Acaraú,não cactus
170,CE,2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2009,185.96,4.0,,,Acaraú,não cactus
171,CE,2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2011,,,,,Acaraú,não cactus
172,CE,2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2013,,,,,Acaraú,não cactus
173,CE,2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2015,,,,,Acaraú,não cactus
